"Component Count:,""129"""
"Ref,""Qnty"",""Value"",""Cmp name"",""Footprint"",""Description"",""Vendor"""
"C1, C11, C21, C31, C41, C51, C61, ,""7"",""10uF"",""CP-Device"",""Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Hand"","""","""""
"C2, C4, C6, C8, C9, C12, C14, C16, C22, C24, C26, C32, C34, C36, C42, C44, C46, C52, C54, C56, C62, C64, C66, ,""23"",""100nF"",""C-Device"",""Capacitors_SMD:C_1206"","""","""""
"C3, C5, C7, C13, C15, C17, C23, C25, C27, C33, C35, C37, C43, C45, C47, C53, C55, C57, C63, C65, C67, ,""21"",""10nF"",""C-Device"",""Capacitors_SMD:C_1206"","""","""""
"C10, ,""1"",""100u"",""CP"",""Capacitors_THT:CP_Radial_D6.3mm_P2.50mm"",""Polarized capacitor"","""""
"CM1, CM4, ,""2"",""10uF"",""CP-Device"",""Capacitors_Tantalum_SMD:CP_Tantalum_Case-A_EIA-3216-18_Hand"","""","""""
"CM2, CM5, ,""2"",""100nF"",""C-Device"",""Capacitors_SMD:C_1206"","""","""""
"CM3, CM6, ,""2"",""10nF"",""C-Device"",""Capacitors_SMD:C_1206"","""","""""
"CM10, CM11, CM12, ,""3"",""10nF"",""C-Device"",""Capacitors_THT:C_Disc_D3.0mm_W2.0mm_P2.50mm"","""","""""
"D1, D2, ,""2"",""WS2812B"",""WS2812B"",""LEDs:LED_WS2812B-PLCC4"",""RGB LED with integrated controller"","""""
"JP1, ,""1"",""SolderJumper"",""SolderJumper_3_Open"",""Jumper:SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm_NumberLabels"",""Solder Jumper, 3-pole, open"","""""
"LED1, ,""1"",""LED"",""LED"","""",""Light emitting diode"","""""
"OLED1, ,""1"",""Conn_01x08"",""Conn_01x08"",""Display:Adafruit_SSD1306"",""Generic connector, single row, 01x08, script generated (kicad-library-utils/schlib/autogen/connector/)"","""""
"R1, R2, R3, R4, R5, R6, R10, R11, R12, ,""9"",""10K"",""R_US"",""Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"",""Resistor, US symbol"","""""
"R13, ,""1"",""390"",""R_US"",""Resistors_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal"",""Resistor, US symbol"","""""
"SW1, SW2, SW3, SW4, SW11, SW12, SW13, SW14, SW21, SW22, SW23, SW24, SW31, SW32, SW33, SW34, SW41, SW42, SW43, SW44, SW51, SW52, SW53, SW54, SW61, SW62, SW63, SW64, ,""28"",""ENCODER-SWITCH"",""ENCODER-SWITCH-SparkFun-Switches"",""SparkFun_Switches:ROTARY_ENC_PLAIN"","""","""""
"SW_MAIN1, ,""1"",""ENCODER-SWITCH"",""ENCODER-SWITCH-SparkFun-Switches"",""SparkFun_Switches:ROTARY_ENC_PLAIN"","""","""""
"TEENSY_I2C_1, ,""1"",""Conn_01x05"",""Conn_01x05"",""MolexConnector:Molex_KK-254_1x05_P2.54mm_Horizontal"",""Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)"","""""
"U1, U2, U3, U11, U12, U13, U21, U22, U23, U31, U32, U33, U41, U42, U43, U51, U52, U53, U61, U62, U63, ,""21"",""4051"",""4051-4xxx"",""SMD_Packages:SO-16-N"","""","""""
"U4, ,""1"",""74LVC1G125"",""74LVC1G125"",""TO_SOT_Packages_SMD:SOT-23-5_HandSoldering"",""Single Buffer Gate Tri-State, Low-Voltage CMOS"","""""
"U100, ,""1"",""Teensy3.2"",""Teensy3.2-teensy"",""teensy:Teensy30_31_32_LC"","""","""""
